canonical_name,entity_type,sector_guess,issue_tags_guess,sensitivity_tier
"AB (American Independent Media)","nonprofit/advocacy","media / democracy","independent media; democracy; civic engagement","HIGH"
"AB Foundation","foundation","philanthropy","grants; democracy; civil society","HIGH"
"AB (Democracy Matters)","nonprofit/advocacy","democracy advocacy","youth organizing; campaign finance reform; voting rights","HIGH"
"AHCV","unknown/org","unknown","unknown; needs manual tagging","LOW"
"Albemarle","corporation","chemicals / mining","lithium; mining; climate; environmental regulation","MEDIUM"
"Albertsons","corporation","retail / grocery","labor; food supply; antitrust; consumer prices","MEDIUM"
"Arizona Public Service Company","corporation","utility / energy","electricity; rates; clean energy transition; climate; state regulation","HIGH"
"Ascension Health Services","nonprofit/health","healthcare system","hospital policy; Catholic health ethics; Medicaid/Medicare; charity care","HIGH"
"Barclays","financial_firm","global banking","finance regulation; LIBOR legacy; ESG; sanctions; climate finance","MEDIUM"
"Blockchain.com","corporation","crypto / fintech","crypto regulation; KYC/AML; sanctions; financial innovation","MEDIUM"
"Candy Capital","corporation","international political / investment","international political; investment; cross-border capital","MEDIUM"
"Coinbase","corporation","crypto / exchange","SEC enforcement; crypto regulation; sanctions compliance; financial inclusion","HIGH"
"Davidson Kempner Capital Management LP","financial_firm","hedge fund / investment","private equity; distressed assets; corporate governance","MEDIUM"
"DaVita","corporation","healthcare / dialysis","Medicare/Medicaid; kidney care; healthcare reimbursement; labor","HIGH"
"Delta Air Lines","corporation","aviation / transportation","labor; unions; emissions; airport expansion; antitrust; consumer protection","HIGH"
"Democracy Defenders Action","nonprofit/advocacy","domestic political","democracy; political advocacy; elections","HIGH"
"Duke Energy","corporation","utility / energy","coal/gas/nuclear; climate; rates; environmental regulation; clean energy","HIGH"
"Eigen Labs","corporation","blockchain / infrastructure","web3 infrastructure; scalability; crypto governance","MEDIUM"
"General Medicine","corporation","healthcare","healthcare services; medical practice; regulation","MEDIUM"
"Guardant Health","corporation","biotech / diagnostics","precision oncology; FDA regulation; healthcare cost; access","MEDIUM"
"Hampshire Mayoral Campaign","political_campaign","international political","UK local politics; mayoral campaign; elections","MEDIUM"
"HongShan Capital Advisors","financial_firm","venture / private equity","tech investment; cross-border capital; China-US scrutiny","HIGH"
"Lyft, Inc.","corporation","gig platform / transportation","gig worker classification; labor; urban transport; emissions","HIGH"
"Mayday Health","nonprofit/advocacy","public health / reproductive","abortion access information; post-Dobbs legal environment","HIGH"
"Methodic Labs","corporation","AI / software (likely)","AI development; data use; privacy; needs refinement","MEDIUM"
"Online Lenders Alliance","trade_association","online lending / fintech","APR caps; consumer protection; financial regulation; small-dollar loans","HIGH"
"Pacific Gas & Electric Company (Craveth, Swaine & Moore LLP)","corporation","utility / energy","electricity; wildfire liability; rates; clean energy; state regulation","HIGH"
"Paramount (Latham & Watkins)","corporation","media / entertainment / streaming","film and TV production; streaming; content moderation; DEI and newsroom politics; mergers/regulation","HIGH"
"Peterson Solutions Fund","nonprofit/advocacy","domestic political","political solutions; policy advocacy; elections","MEDIUM"
"Portland General Electric Company","corporation","utility / energy","electricity; rates; clean energy transition; climate; state regulation","HIGH"
"Salamander Solutions","corporation","energy","energy solutions; needs manual tagging","MEDIUM"
"Santander","financial_firm","global retail / commercial bank","consumer finance; auto lending; regulation; cross-border; ESG","MEDIUM"
"Sharrow Marine","corporation","maritime / engineering","propeller tech; fuel efficiency; emissions","LOW"
"Simpson Thacher & Bartlett LLP","law_firm","elite law firm","corporate law; M&A; restructuring; financial regulation","HIGH"
"SmithRX","corporation","healthcare / pharma services","pharmacy benefits; healthcare cost; PBM; regulation","MEDIUM"
"Sports Betting Alliance (Orrick, Herrington & Sutcliffe LLP)","trade_association","sports betting / gaming","gambling regulation; state legislation; consumer protection; sports integrity","HIGH"
"Stubhub, Inc.","corporation","ticketing / marketplace","consumer protection; fees; antitrust; event industry","MEDIUM"
"Sui Foundation","foundation","crypto protocol foundation","L1 blockchain; decentralization; governance; regulation","MEDIUM"
"TikTok Inc.","corporation","social media / platform","content moderation; youth safety; China ties; national security; privacy","HIGH"
"TikTok USDS Joint Venture LLC","corporation","social media / data security","US data security; national security; CFIUS; content moderation","HIGH"
"Topset Investments","corporation","international political / investment","international political; investment; cross-border capital","MEDIUM"
"Trousdale Ventures LLC","financial_firm","venture / family office","tech startups; climate; health; philanthropy (portfolio-dependent)","MEDIUM"
"US Soccer Foundation","nonprofit","sports / youth development","youth sports; equity; community development","MEDIUM"
"Viz.ai","corporation","health tech / AI","AI diagnostics; FDA; healthcare liability; equity of access","MEDIUM"
"Waymo","corporation","autonomous vehicles / tech","self-driving cars; transportation safety; AI regulation; urban policy","HIGH"
"ZTOTAL","corporation","unknown (likely tech/fintech)","unknown; needs manual tagging","LOW"
